id,user,retweetedUser,weight
1,716543,14960700,1
2,716543,13880632,1
3,6035262,14497084,1
4,6035262,14099695,1
5,6035262,14182457,1
6,6035262,15975726,1
7,14936857,14099695,1
8,14936857,14132503,1
9,15627816,14099695,2
10,15627816,14182457,1
11,15627816,14427857,1
12,15627816,15487858,1
13,2056341,14182457,1
14,11549612,16103584,1
15,11549612,14099695,2
16,11549612,14828712,1
17,14681353,14099695,3
18,14681353,14427857,1
19,15207713,14818207,1
20,15207713,16479015,1
21,15207713,15251890,1
22,15207713,14581040,1
23,5502882,14099695,1
24,6980622,16103584,1
25,6980622,14099695,3
26,6980622,10716532,1
27,16103584,67923,1
28,16103584,14099695,3
29,16103584,14581040,1
30,15887542,14828712,1
31,15887542,15251890,1
32,15887542,14132503,1
33,67923,6742412,1
34,11090052,8069572,1
35,11090052,15119002,1
36,11090052,15638869,1
37,14497084,6035262,1
38,14497084,14099695,3
39,14818207,6742412,1
40,1624111,16479015,1
41,1624111,14132503,1
42,1624111,15664760,1
43,8069572,14099695,3
44,1831611,14099695,3
45,1831611,14581040,1
46,1831611,10716532,1
47,14960700,11090052,1
48,14960700,16479015,1
49,14960700,6742412,2
50,16083312,6471972,1
51,16083312,14099695,1
52,16083312,6742412,1
53,14443268,2056341,1
54,14443268,14099695,4
55,14443268,9640622,1
56,14443268,15975726,1
57,6471972,15119002,1
58,6471972,14099695,1
59,15907731,6035262,1
60,15907731,15627816,1
61,15907731,14099695,3
62,15907731,14581040,1
63,16479015,14099695,1
64,15769246,15207713,1
65,15769246,14828712,1
66,10879802,11090052,1
67,10879802,14828712,1
68,10879802,14847940,1
69,15119002,15251890,1
70,15119002,14847940,2
71,9174252,14099695,3
72,9174252,15975726,1
73,14099695,14828712,1
74,7014162,15627816,1
75,7014162,14099695,4
76,7014162,14182457,1
77,1828441,11090052,1
78,1828441,14581040,1
79,2189991,14099695,1
80,2189991,15251890,1
81,2189991,14132503,2
82,2189991,14581040,3
83,14369841,6035262,1
84,14369841,14099695,3
85,14369841,14447648,1
86,15989194,14099695,3
87,14709419,14099695,1
88,14709419,6742412,1
89,6117452,14132503,1
90,11895852,14132503,1
91,9640622,6471972,1
92,9640622,14099695,2
93,14182457,6980622,1
94,14182457,14099695,2
95,14828712,14818207,1
96,14057849,14960700,1
97,14057849,15638869,1
98,14057849,14132503,2
99,14057849,14744335,1
100,14057849,13880632,2
101,3150841,14099695,4
102,3150841,14182457,1
103,2857511,6117452,1
104,2857511,15638869,1
105,15251890,14099695,1
106,15251890,14828712,1
107,15251890,14057849,1
108,13284792,14099695,1
109,15638869,16479015,2
110,15638869,14132503,1
111,14427857,14099695,4
112,9343272,14099695,1
113,14132503,11090052,1
114,14132503,6117452,1
115,14132503,14828712,1
116,14132503,14744335,1
117,14744335,6117452,2
118,6742412,14099695,1
119,14581040,14099695,2
120,14581040,6117452,2
121,14581040,15638869,1
122,14847940,14132503,1
123,10716532,6471972,2
124,10716532,14099695,3
125,15664760,11549612,1
126,15664760,15207713,1
127,15664760,15251890,1
128,15664760,9343272,1
129,15664760,14581040,1
130,15975726,14099695,3
131,13880632,11090052,1
132,13880632,14099695,2
133,13880632,14132503,1
134,15487858,14099695,2
135,15487858,14132503,1
136,15299259,14581040,1
137,14447648,14099695,2
138,14447648,6742412,1
139,716543,11090052,1
140,716543,14132503,1
141,6035262,14099695,3
142,6035262,7014162,1
143,14936857,15887542,1
144,14936857,11090052,1
145,15627816,6035262,1
146,15627816,6471972,1
147,15627816,14099695,1
148,15627816,9640622,1
149,15627816,15975726,1
150,2056341,14099695,4
151,11549612,14099695,2
152,14681353,14099695,4
153,14681353,10716532,1
154,15207713,11895852,1
155,5502882,15627816,1
156,5502882,14099695,2
157,6980622,6471972,1
158,6980622,14099695,1
159,6980622,14182457,1
160,16103584,1831611,1
161,15887542,14936857,1
162,15887542,15207713,1
163,15887542,14818207,1
164,15887542,14057849,1
165,67923,14828712,1
166,67923,14847940,1
167,14497084,6471972,1
168,14497084,14099695,1
169,14818207,14099695,1
170,14818207,6117452,1
171,14818207,6742412,1
172,1624111,6742412,1
173,8069572,14099695,4
174,1831611,14099695,2
175,1831611,15989194,1
176,1831611,10716532,1
177,14960700,9343272,1
178,14960700,14132503,1
179,14960700,14581040,1
180,16083312,14099695,1
181,16083312,10716532,1
182,14443268,6035262,1
183,14443268,6471972,1
184,14443268,14099695,1
185,6471972,6035262,1
186,6471972,15627816,1
187,6471972,14818207,1
188,6471972,14099695,1
189,6471972,7014162,1
190,6471972,15251890,1
191,6471972,10716532,2
192,15907731,14099695,2
193,16479015,6471972,1
194,16479015,6742412,1
195,16479015,14581040,1
196,15769246,14057849,1
197,15769246,15638869,1
198,15769246,9343272,1
199,15769246,14132503,1
200,10879802,15638869,1
201,10879802,15299259,1
202,15119002,14132503,1
203,9174252,8069572,1
204,9174252,14099695,2
205,9174252,15975726,1
206,7014162,14099695,2
207,7014162,10716532,1
208,7014162,13880632,1
209,2189991,14099695,1
210,2189991,14581040,1
211,14369841,15627816,1
212,14369841,14099695,4
213,14369841,14182457,1
214,14369841,14828712,1
215,15989194,14099695,2
216,14709419,14828712,1
217,6117452,14099695,1
218,6117452,14057849,1
219,6117452,15638869,1
220,11895852,14099695,1
221,11895852,9343272,2
222,11895852,14847940,1
223,9640622,14099695,1
224,9640622,14132503,1
225,14182457,14099695,2
226,14828712,16479015,1
227,14057849,14132503,1
228,14057849,6742412,2
229,3150841,6035262,1
230,2857511,15119002,1
231,15251890,15207713,1
232,15251890,14960700,1
233,15251890,6742412,1
234,13284792,14099695,1
235,15638869,14132503,1
236,14427857,14099695,1
237,9343272,16479015,1
238,9343272,14099695,1
239,14132503,15207713,1
240,14744335,14828712,1
241,14744335,15251890,1
242,14744335,14132503,1
243,6742412,15769246,1
244,14581040,14936857,1
245,14581040,14099695,1
246,14581040,14828712,1
247,14581040,15251890,1
248,14581040,14132503,1
249,3538981,14847940,1
250,14847940,15207713,1
251,14847940,14099695,1
252,14847940,14132503,1
253,14847940,14581040,1
254,10716532,6471972,1
255,10716532,14099695,5
256,10716532,15251890,1
257,15664760,14099695,1
258,15664760,14828712,1
259,15664760,14581040,1
260,15975726,14099695,3
261,13880632,14581040,1
262,15487858,14099695,3
263,15487858,9640622,1
264,15299259,14099695,1
265,15299259,15638869,1
266,14447648,6471972,1
267,14447648,14099695,2
